"datacenter","county","operator","voltage_kv","transmission_owner","distance_km"
"MDC El Paso - ELP1","El Paso","MDC Data Centers","115","EL PASO ELECTRIC CO.","2.95"
"STACK Infrastructure DFW02 Campus","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","6.13"
"STACK Infrastructure DFW02E","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","6.13"
"STACK Infrastructure DFW02B","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","6.13"
"STACK Infrastructure DFW02C","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","6.13"
"STACK Infrastructure DFW02D","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","6.13"
"STACK Infrastructure DFW02A","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","6.13"
"STACK Infrastructure DFW02F","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","6.06"
"DataBank DFW10 - Red Oak","Ellis","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","5.62"
"DataBank DFW9 - Red Oak","Ellis","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","5.47"
"Stream DC DFWC - Wilmer II Campus","Dallas","Stream Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","4.70"
"Project Orange","Dallas","Unknown Company","138","ONCOR ELECTRIC DELIVERY CO.","4.74"
"Skybox PowerCampus Dallas","Dallas","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","8.60"
"Lincoln Red Oak Campus","Dallas","Lincoln Rackhouse","138","ONCOR ELECTRIC DELIVERY CO.","5.93"
"Stream DC DFW-VIII - Wilmer","Dallas","Stream Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","4.26"
"Project Labrador","Dallas","Unknown Company","138","ONCOR ELECTRIC DELIVERY CO.","6.90"
"QTS South Dallas Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","3.77"
"DataBank Red Oak Campus","Ellis","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","5.86"
"QTS South Dallas DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","3.77"
"DataBank DFW11 - Red Oak","Ellis","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","5.87"
